"# Value in column ""Heuristic"" is mim-width computed by heuristic";;;;;
"# Value in column ""Exact"" is the exact mim value for the tree decomposition computed by the heuristic";;;;;
# iterations = 10;;;;;
# firstTieBreaker = ReducingTieBreakers::chooseMinDegree;;;;;
# secondTieBreaker = FinalTieBreakers::chooseMaxNeighboursEdges;;;;;
Graph;Vertices;Edges;Edge Density;Heuristic;Exact
celar06-pp.dgf;16;101;0.8416666666666667;1;1
celar06-pp-000.dgf;8;12;0.42857142857142855;1;1
celar06-pp-003.dgf;4;3;0.5;1;1
diabetes-pp-001.dgf;6;12;0.8;1;1
mainuk-pp.dgf;9;28;0.7777777777777778;1;1
munin3-pp-001.dgf;7;17;0.8095238095238095;1;1
munin3-pp-002.dgf;7;17;0.8095238095238095;1;1
zeroin.i.1-pp.dgf;54;1267;0.8853948287910552;1;1
celar04-pp-001.dgf;16;93;0.775;1;2
celar04-pp-001-000.dgf;15;78;0.7428571428571429;1;2
weeduk.dgf;15;49;0.4666666666666667;1;2
weeduk.dgf;15;49;0.4666666666666667;1;2
alarm.dgf;37;65;0.09759759759759759;2;2
celar01-pp-002.dgf;19;112;0.6549707602339181;2;2
celar02-pp.dgf;19;115;0.672514619883041;2;2
celar02-wpp.dgf;30;144;0.3310344827586207;2;2
celar05-pp-001.dgf;19;113;0.6608187134502924;2;2
celar06-wpp.dgf;34;156;0.27807486631016043;2;2
celar11-pp-001.dgf;19;112;0.6549707602339181;2;2
diabetes-pp-002.dgf;8;17;0.6071428571428571;2;2
fl3795-pp-001.dgf;10;20;0.4444444444444444;2;2
fl3795-pp-002.dgf;10;21;0.4666666666666667;2;2
fl3795-pp-003.dgf;10;21;0.4666666666666667;2;2
fl3795-pp-004.dgf;11;23;0.41818181818181815;2;2
fungiuk.dgf;15;36;0.34285714285714286;2;2
fungiuk.dgf;15;36;0.34285714285714286;2;2
mildew-wpp.dgf;15;31;0.29523809523809524;2;2
mulsol.i.1-pp.dgf;73;2188;0.832572298325723;2;2
mulsol.i.3.dgf;184;3916;0.2325968163459254;2;2
mulsol.i.5.dgf;186;3973;0.23092124382446963;2;2
mulsol.i.5-pp.dgf;119;2556;0.3640507050277738;2;2
pathfinder-pp.dgf;12;43;0.6515151515151515;2;2
pathfinder-pp-001.dgf;11;32;0.5818181818181818;2;2
pcb3038-pp-002.dgf;15;32;0.3047619047619048;2;2
rl5934-pp-001.dgf;10;20;0.4444444444444444;2;2
anna-pp.dgf;22;148;0.6406926406926406;2;
BN_28.dgf;24;49;0.17753623188405798;2;
BN_29.dgf;24;49;0.17753623188405798;2;
celar08-pp-002.dgf;16;61;0.5083333333333333;2;
celar09-pp-001.dgf;16;61;0.5083333333333333;2;
celar10-pp-001.dgf;16;61;0.5083333333333333;2;
celar11-pp-002.dgf;13;46;0.5897435897435898;2;
fpsol2.i.1-pp.dgf;233;10783;0.3989566375610478;2;
miles1500.dgf;128;5198;0.6395177165354331;2;
mulsol.i.1.dgf;197;3925;0.20330467212265618;2;
mulsol.i.4.dgf;185;3946;0.2318448883666275;2;
oesoca.dgf;39;67;0.09041835357624832;2;
zeroin.i.1.dgf;211;4100;0.18505980591288648;2;
zeroin.i.2.dgf;211;3541;0.15982848115549536;2;
zeroin.i.2-pp.dgf;57;1097;0.6873433583959899;2;
zeroin.i.3.dgf;206;3540;0.16765332701870708;2;
zeroin.i.3-pp.dgf;57;1097;0.6873433583959899;2;
1b67-pp.dgf;67;555;0.2510176390773406;3;
1bx7.dgf;41;195;0.23780487804878048;3;
1bx7-pp.dgf;34;172;0.3065953654188948;3;
